Location,Time,Female,Male,threshold,under.t,total,under.65,prop.over.65,prop.over.t
Algeria,1985,63.417238838828986,61.295466266047065,62.44750638111301,21694.703841800543,22565.905,21867.921,0.03093091103591903,0.03860696737841694
Algeria,1986,63.6070997570732,61.49444071643435,62.642301430166114,22362.258090346,23241.272,22521.689,0.030961429305590604,0.03782124789271433
Algeria,1987,63.7540635942749,61.649071580595034,62.7925230126961,23027.48170015424,23917.897,23178.316,0.030921656699165564,0.03722799290613891
Algeria,1988,63.85738615917988,61.75016021355721,62.892819058885905,23684.057305598213,24591.492,23833.245,0.030833712732842702,0.03690035132483158
Algeria,1989,63.919890802209046,61.795203207013884,62.94310329551765,24326.127596942846,25257.672,24480.486,0.03077029426940052,0.03688164146945738
Algeria,1990,63.95867104048378,61.80847809931776,62.96435263577028,24950.86188369273,25912.367,25113.728,0.030820766007211894,0.03710603189231102
Algeria,1991,63.99438793280055,61.820957665486475,62.982809789421935,25559.146853467228,26554.329,25728.908,0.031084234890665172,0.03747720932932532
Algeria,1992,64.04770253795586,61.863614680537644,63.024717466250756,26152.19648820351,27181.094,26326.536,0.03143942624237276,0.03785342531821902
Algeria,1993,64.13927591474618,61.9674219194889,63.11631837603488,26726.382357661867,27786.259,26900.232,0.031887236061536685,0.03814391287211896
Algeria,1994,64.28491877105785,62.155309420210195,63.27736589201748,27276.43063033202,28362.253,27442.184,0.032439912301748364,0.03828406613776351
Algeria,1995,64.48104041113653,62.41803627198079,63.50165604130181,27797.31618569543,28904.298,27947.286,0.033109678013975595,0.03829817331334497
Algeria,1996,64.71919978831777,62.73831882693227,63.776495514456144,28280.064188744593,29411.415,28407.498,0.034133583848312,0.038466384948000906
Algeria,1997,64.99095585593706,63.098873437196225,64.08919100204878,28733.023341941625,29886.839,28831.848,0.035299517623794144,0.03860614560336657
Algeria,1998,65.28786756732991,63.48241645490424,64.42704919464799,29160.632848467314,30335.732,29225.037,0.03661342340445253,0.03873646930730684
Algeria,1999,65.60170016413434,63.874253378531435,64.77866484969545,29569.976346678544,30765.613,29595.542,0.03803177918151671,0.03886276061918405
Algeria,2e3,65.92504404119826,64.27004629192706,65.13778499212624,29967.907022749136,31183.66,29951.653,0.03950809494459603,0.03898685969674067
Algeria,2001,66.25069588167212,64.66804642528389,65.49944471374889,30362.993008311285,31592.153,30303.672,0.040784842995664136,0.03890712961819074
Algeria,2002,66.57145236870632,65.0665050087947,65.85867910637188,30754.68602586749,31995.046,30651.431,0.041994470018889736,0.0387672508466626
Algeria,2003,66.88011018545126,65.46367327265227,66.21052326180371,31152.340953800904,32403.514,31004.319,0.04318034766229366,0.038612264280938655
Algeria,2004,67.1704516633485,65.85633793915743,66.5499368743219,31567.670433751064,32831.096,31374.997,0.04435121507975239,0.03848258877038202
Algeria,2005,67.44020172700412,66.23542769904321,66.87157804808007,32010.149525957193,33288.437,31774.11,0.04549108148273821,0.03840034526231451
Algeria,2006,67.68807094931528,66.59040673515068,67.1700294897009,32478.0028653378,33777.915,32203.068,0.0466235704601661,0.038484084487221945
Algeria,2007,67.91276990317917,66.9107392303209,67.43987390580703,32976.908272963345,34300.076,32665.333,0.047660040170173446,0.03857623309746183
Algeria,2008,68.113009161493,67.18588936739498,67.67569400302115,33511.21864546676,34860.715,33164.469,0.04865780865366644,0.038711092257667
Algeria,2009,68.28862515211614,67.40907248142695,67.87436489099342,34085.13190883824,35465.76,33704.824,0.049651720419920546,0.03892847893748125
Algeria,2010,68.44395772275683,67.58850851632276,68.04193129148415,34700.331548509355,36117.637,34287.81,0.05066297665043825,0.03924136707754849
Algeria,2011,68.5844725760855,67.73616856820139,68.18673032928112,35372.761726189994,36819.558,34935.648,0.051166013454045166,0.03929423253288383
Algeria,2012,68.71563541477256,67.86402373318174,68.31709912917216,36086.25653944352,37565.847,35623.8,0.051697143950993535,0.039386585920889235
Algeria,2013,68.84291194148847,67.98404510738278,68.44137481594508,36825.06414191994,38338.562,36335.901,0.05223620541636382,0.03947716813374638
Algeria,2014,68.97060681161165,68.10553128695034,68.56606863269278,37566.40708458003,39113.313,37044.123999999996,0.05290242225198376,0.03954934514036106
Algeria,2015,69.09838049135257,68.22709086813784,68.69038829572858,38291.0111399676,39871.528,37723.078,0.0538843156449885,0.03964023801727378
Algeria,2016,69.22473239962976,68.34465994722557,68.81171563967091,38995.10570230129,40606.052,38370.422,0.05505657137019882,0.03967256648587044
Algeria,2017,69.34816195536169,68.45417462049389,68.92743249913816,39675.908237063064,41318.142,38979.63,0.05659770470801912,0.03974606996938381
Algeria,2018,69.46716857746686,68.55157098422308,69.03492070874877,40329.92446371119,42008.054,39550.788,0.058495116198431764,0.03994780468261646
Algeria,2019,69.58070498609787,68.63418054514302,69.13244438711884,40955.87272553472,42679.018000000004,40092.579,0.06060212069546693,0.04037452957482023
Algeria,2020,69.68953710634364,68.7049164517818,69.22179678885526,41553.08514954892,43333.255,40614.584,0.06273867495068153,0.04108091696437479
Algeria,2021,69.79488416452723,68.76808726311705,69.30565345256255,42117.66194394522,43969.303,41118.128,0.06484467129260618,0.04211213118513116
Algeria,2022,69.89796538697166,68.82800153812641,69.38668991684531,42653.98858591436,44584.467,41605.513,0.06681596081433469,0.043299349391922426
Algeria,2023,70,68.88896783578751,69.4675817203081,43162.49365191298,45178.849,42074.046,0.06872249003067785,0.04463051610914269
Algeria,2024,70.10208883211449,68.95439848678608,69.55053869393306,43646.51636124675,45752.995,42518.022,0.07070516367289191,0.04604023493441798
Algeria,2025,70.20485912053428,69.02412090864019,69.63590783821267,44109.8348122026,46307.643,42932.221,0.07289125037091607,0.04746102469083552
Algeria,2026,70.30881970465776,69.09706629057604,69.72357044601702,44559.00565558875,46843.063,43327.017,0.07506012149547099,0.04875977782262557
Algeria,2027,70.41447942388331,69.17216582181979,69.81340781021616,44990.84374699624,47360.008,43693.1,0.07742625381313287,0.050024574594745935
Algeria,2028,70.52234711760929,69.24835069159762,69.90530122368018,45406.715694562365,47860.486,44032.225,0.07998792573899059,0.05126923085230753
Algeria,2029,70.63269450976397,69.32481638223635,69.99909867699577,45807.35529930733,48347.052,44348.985,0.08269515584941979,0.05253053900148186
Algeria,2030,70.74484486239508,69.40181554846536,70.09451495161609,46192.03526254609,48821.963,44647.42,0.08550543123388965,0.053867718048410215
Algeria,2031,70.85788432208027,69.47986513811468,70.19123152671094,46563.949441255245,49286.284999999996,44939.666,0.08819124833612432,0.05523515433846864
Algeria,2032,70.97089903539715,69.55948209901429,70.28892988145009,46923.45619775203,49741.054,45217.59,0.09094025229139696,0.056645317613253005
Algeria,2033,71.08297514892334,69.64118337899424,70.38729149500332,47271.597672400654,50188.453,45481.773,0.09378013703670046,0.05811805611141964
Algeria,2034,71.1933984640865,69.72534768546866,70.48605705354292,47609.703935652586,50630.92,45733.303,0.0967317402093424,0.05967136414561325
Algeria,2035,71.30225340171438,69.81180076418815,70.58520407125108,47939.720717237935,51070.401,45973.347,0.09980446403778966,0.061301266907265194
Algeria,2036,71.4098240374848,69.90023012048742,70.6847692693125,48272.378457941995,51507.846,46220.032,0.1026603597440281,0.06281504262589437
Algeria,2037,71.51639444707551,69.99032325970119,70.78478936891182,48603.17681874135,51943.721,46458.472,0.10559984718845991,0.06431083713195385
Algeria,2038,71.62224870616434,70.08176768716416,70.88530109123373,48931.07394342471,52378.836,46688.656,0.1086350983439189,0.06582357150081179
Algeria,2039,71.72759105345409,70.1743756658958,70.98631579395399,49255.155557689555,52813.83,46907.316,0.11183650191625949,0.06738148780935688
Algeria,2040,71.83230637974759,70.26845848965445,71.0877433807126,49574.779515991744,53248.997,47109.389,0.11529997457041304,0.0690006890459976
Algeria,2041,71.93619973887276,70.36445220988321,71.18946839164062,49900.95322415124,53684.399,47313.203,0.1186787245210661,0.07047570330160081
Algeria,2042,72.03907618465743,70.46279287802518,71.29137536686912,50226.31983059645,54119.593,47500.302,0.12230858794521972,0.07193833053037842
Algeria,2043,72.14074077092948,70.56391654552345,71.39334884652918,50548.08089860769,54553.53,47669.467,0.12618913936458379,0.07342236334463252
Algeria,2044,72.24106666214645,70.66815450565434,71.49535450125113,50863.74190388464,54984.743,47818.217,0.13033662810790994,0.07494808325493783
Algeria,2045,72.34019946528443,70.77541901902705,71.5976825236624,51169.71049513,55411.769,47943.941,0.13476970930128582,0.07655519001513923
Algeria,2046,72.4383528979492,70.88551758808407,71.70070423688969,51471.3615680535,55833.922,48068.21,0.13908591268225792,0.07813458692632229
Algeria,2047,72.5357406777465,70.99825771526783,71.80479096405968,51761.08186404083,56250.124,48172.53,0.14360135454990294,0.07980501760243534
Algeria,2048,72.63257652228212,71.11344690302076,71.91031402829906,52034.47434480576,56657.885,48254.771,0.14831323124751306,0.0816022457455699
Algeria,2049,72.72907229306574,71.23091440430362,72.01753306478044,52287.692552189576,57054.231,48314.149,0.15318902466672457,0.08354399602389566
Algeria,2050,72.82543242722285,71.3505764741503,72.12626095686002,52516.11360938069,57436.703,48351.003,0.15818630815212364,0.08566977444055779
Algeria,2051,72.92185950578286,71.47237111811299,72.23619889993996,52729.04663533427,57804.208,48394.625,0.16278370252906155,0.08779916791984639
Algeria,2052,73.01855610977518,71.59623634174383,72.34704808942237,52921.49774490356,58156.137,48424.005,0.16734488399736738,0.09001009222975805
Algeria,2053,73.1157248202292,71.72211015059503,72.45850972070939,53089.267473863554,58491.219,48437.676,0.1718812357116373,0.09235491443829276
Algeria,2054,73.2134191650809,71.84977013640399,72.57024565731487,53229.45090635466,58808.275,48435.168,0.17638856096357194,0.09486461035705168
Algeria,2055,73.3110964598922,71.97835223564907,72.68176043519968,53339.57462785807,59106.493,48416.658,0.18085720294722948,0.09756827176570824
Algeria,2056,73.40806496713161,72.10683197099385,72.79251925843644,53434.771536494176,59385.347,48415.938,0.18471575151358466,0.10020275647300378
Algeria,2057,73.50363294926763,72.23418486510195,72.90198733109776,53511.00499237542,59644.912,48408.098,0.18839518113464562,0.10284040669931037
Algeria,2058,73.59710866876873,72.35938644063694,73.00962985725624,53569.20202996774,59885.843,48391.373999999996,0.19193967095027792,0.10547803376554726
Algeria,2059,73.68811492738149,72.48167932895369,73.1151168779204,53609.64587470679,60109.267,48371.406,0.1952753973858972,0.10813010122537697
Algeria,2060,73.77753268396486,72.60137459617214,73.21893778184231,53630.94419099781,60316.226,48356.666,0.19828097334869732,0.11083720339203898
Algeria,2061,73.86655743665585,72.71905041710346,73.32178679470998,53657.09511297951,60507.128,48393.601,0.20019999957690926,0.11321034584587275
Algeria,2062,73.95638468359152,72.83528496655886,73.4243581422114,53678.12069579167,60682.545,48446.682,0.20163727477151788,0.11542733259141201
Algeria,2063,74.04820992290888,72.95065641934953,73.52734605003455,53693.50914034312,60843.9,48512.537,0.20267213311441254,0.11752025855766773
Algeria,2064,74.14286009342486,73.06551449324651,73.63118286174401,53703.33360138747,60992.938,48586.006,0.20341587742502257,0.11951554782641442
Algeria,2065,74.23968789667596,73.17929507786025,73.73525339241064,53706.556786223024,61131.159,48659.922,0.20400786119563022,0.12145364712906843
Algeria,2066,74.33767747487856,73.29120560576101,73.83868057498191,53731.108618492304,61259.492,48775.043,0.20379615619404745,0.12289333678293797
Algeria,2067,74.43581297024907,73.40045350951908,73.94058734240528,53759.50469914884,61378.599,48891.105,0.20345029380680388,0.12413275025797119
Algeria,2068,74.5330785250039,73.50624622170473,74.0400966276282,53793.39243615917,61489.432,49006.161,0.20301490181272125,0.12516036192757204
Algeria,2069,74.62869186402249,73.60799403627738,74.13658515895264,53836.73442102965,61592.928,49104.396,0.20275918689885955,0.12592669046307312
Algeria,2070,74.72280504283658,73.70591869275289,74.23044484609859,53891.55609181374,61689.919,49163.762,0.20305030713365013,0.12641227342487288
Algeria,2071,74.815803699641,73.8004447920363,74.32232139414056,53983.79261157499,61781.092,49214.753,0.20340105027602945,0.12620850710157422
Algeria,2072,74.90807347263053,73.89199693503264,74.41286050815303,54097.437480461784,61867.061,49224.039,0.20435788924901419,0.12558578658744138
Algeria,2073,75,73.98099972264689,74.5027078932105,54226.672320419944,61948.436,49190.067,0.20595143031536742,0.12464824260583524
Algeria,2074,75.09191061218938,74.06791975807263,74.59237939486805,54363.728664870396,62025.747,49109.094,0.20824663345046057,0.12352964221663637
Algeria,2075,75.18389940861931,74.15339165365775,74.68187142060304,54499.46232517633,62099.469,48977.515,0.2113054138997549,0.12238440677848089
Algeria,2076,75.27600218095559,74.23809202403862,74.77105051837341,54649.527656563536,62169.949,48835.149,0.21448947947504352,0.12096553824479515
Algeria,2077,75.368254720864,74.32269748385167,74.85978323613713,54810.517317153724,62237.42,48656.843,0.21820597640454886,0.11933178918480673
Algeria,2078,75.46069282001038,74.40788464773331,74.94793612185211,54975.960253708385,62302.053,48437.873,0.2225316716288627,0.11758990905631336
Algeria,2079,75.55332627643759,74.49414624046157,75.03547066161742,55127.85609674274,62363.854,48188.746,0.22729685692612905,0.1160287159811717
Algeria,2080,75.64606091369686,74.58123942738094,75.12272809409656,55244.30573583993,62422.851,47926.474,0.23222869138098162,0.11499867675316641
Algeria,2081,75.73877656171649,74.66873748397747,75.21014459609417,55329.40971322045,62479.024,47704.842,0.2364662738649695,0.11443223387707768
Algeria,2082,75.83135305042478,74.7562136857373,75.29815634441483,55388.9995304555,62532.295,47498.938,0.24040948760956232,0.11423370067489928
Algeria,2083,75.92367020975004,74.84324130814647,75.38719951586322,55418.12716612326,62582.408,47305.174,0.24411387302323048,0.11447755148502343
Algeria,2084,76.01564430739272,74.92951764558595,75.47754370836678,55409.5480800921,62629.024,47115.944,0.24769793634337964,0.11527364564882726
Algeria,2085,76.10733736214178,75.0152360680159,75.56879220434449,55355.32494316146,62671.784,46920.743,0.2513258757721018,0.11674247308547239
Algeria,2086,76.19884783055836,75.10071396429137,75.6603817073382,55275.35670900312,62710.46,46763.808,0.25429014553552953,0.11856241033787471
Algeria,2087,76.29027416920361,75.18626872326739,75.75174892088975,55170.251434921585,62744.724,46613.713,0.2570895203874034,0.12071887614133765
Algeria,2088,76.38171483463863,75.27221773379901,75.84233054854096,55032.81165734356,62773.977,46466.597,0.25977930313384473,0.12331806446891898
